Customer ID|Email|City|Country|Registration_Date
12346|customer_12346@yahoo.com|Bristol|United Kingdom|2009-09-23
12347|customer_12347@gmail.com|North City|Iceland|2010-07-30
12348|customer_12348@icloud.com|Oulu|Finland|2010-09-12
12349|customer_12349@outlook.com|Naples|Italy|2010-01-12
12351|customer_12351@outlook.com|Central City|Unspecified|2010-09-18
12352|customer_12352hotmail.com|Trondheim|NORWAY|2010-10-22
12353|customer_12353@yahoo.com|South City|Bahrain|2010-07-16
12355|customer_12355@aol.com|Capital City|Bahrain|2010-01-19
12356|customer_12356@yahoo.com|Porto|portugal|2010-07-28
12357|customer_12357@mail.com|Lausanne|Switzerland|2010-08-20
12358|customer_12358@gmail.com|Capital City|Austria|2010-02-10
12359|customer_12359@gmail.com|Central City|Cyprus|2009-11-28
12360|customer_12360@yahoo.com|Metro City|Austria|2009-11-10
12361|customer_12361@outlook.com|Liège|Belgium|2009-08-27
12366|customer_12366@outlook.com|Metro City|cyprus|2009-11-05
12368|customer_12368@aol.com|Central City|Cyprus|2009-10-22
12369|customer_12369@gmail.com|Capital City|Austria|2010-01-14
12370|customer_12370@aol.com|Capital City|austria|2010-02-07
12371|customer_12371@outlook.com|Zurich|SWITZERLAND|2009-12-06
12373|customer_12373@aol.com||austria|2009-08-30
12374|customer_12374@mail.com|Capital City|Austria|2010-03-23
12376|customer_12376@outlook.com|Lausanne|Switzerland|2010-06-10
12377|customer_12377@protonmail.com|Lausanne|switzerland|2010-04-08
12378|customer_12378@icloud.com|Bern|Switzerland|2009-12-16
12379|customer_12379@gmail.com|Liège|BELGIUM|2010-04-26
12380| customer_12380@hotmail.com|Antwerp|Belgium|2010-01-24
12382| customer_12382@mail.com|Amsterdam|Netherlands|2009-10-29
12383|customer_12383@live.com|Liège|Belgium|2010-11-03
12385|customer_12385@icloud.com|Ghent|Belgium|2010-09-27
12386|customer_12386@hotmail.com|Adelaide|Australia|2010-06-21
12387|customer_12387@outlook.com|Adelaide|Australia|2010-10-05
12388|customer_12388@live.com|Perth|Australia|2009-11-12
12389|customer_12389@yahoo.com|Melbourne|australia|2010-01-02
12391|customer_12391@yahoo.com|Central City|cyprus|2009-10-30
12392|customer_12392@mail.com|Perth|Australia|2010-03-03
12393|customer_12393@yahoo.com|Melbourne|Australia|2010-08-04
12395|customer_12395@live.com|Liège|Belgium|2009-12-06
12396|customer_12396@live.com|Central City|RSA|2009-12-14
12399|customer_12399@icloud.com|Antwerp|Belgium|2009-10-21
12400|customer_12400@gmail.com|Perth|Australia|2010-09-30
12402|customer_12402@protonmail.com|Liège|Belgium|2009-11-26
12403|customer_12403@aol.com|Copenhagen|Denmark|2010-01-20
12404|customer_12404@yahoo.com|Oulu|Finland|2010-01-08
12406|customer_12406@mail.com|Odense|Denmark|2009-09-01
12408|customer_12408@yahoo.com|Liège|Belgium|2010-05-01
12409|customer_12409@aol.com|Zurich|Switzerland|2010-03-24
12410|customer_12410@icloud.com|Geneva|Switzerland|2010-07-11
12411|customer_12411@live.com|Adelaide|Australia|2010-10-17
12412|customer_12412@outlook.com|Aarhus|Denmark|2010-03-20
12413|customer_12413@yahoo.com|Bilbao|Spain|2010-09-10
12414|customer_12414@gmail.com|Metro City|Austria|2010-04-25
12415|customer_12415@outlook.com|Perth|Australia|2010-04-07
12416|customer_12416@icloud.com||Australia|2009-11-21
12417|customer_12417@@yahoo.com|Antwerp|Belgium|2009-09-19
12418|customer_12418@outlook.com|Lausanne|Switzerland|2009-09-28
12419|customer_12419@yahoo.com|Bilbao|Spain|2010-10-14
12421|customer_12421@mail.com|Málaga|SPAIN|2010-01-28
12422|customer_12422@icloud.com|Melbourne|Australia|2010-01-10
12423|customer_12423@protonmail.com|Aalborg|Denmark|2010-06-11
12424|customer_12424@live.com|Brisbane|Australia|2009-12-22
